produto;id_deposito_1;qtd_1;id_deposito_2;qtd_2;id_deposito_3;qtd_3;id_deposito_4;qtd_4;id_deposito_5;qtd_5;id_deposito_6;qtd_6;id_deposito_7;qtd_7;id_deposito_8;qtd_8;id_deposito_9;qtd_9;id_deposito_10;qtd_10;id_deposito_11;qtd_11
89327;65;;66;1;67;1;69;;70;;71;1;72;;73;;74;;75;;68;
89606;65;1;66;1;67;;69;;70;;71;1;72;1;73;;74;;75;;68;1
89691;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89178;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89335;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89428;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89613;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89230;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89392;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89661;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89136;65;;66;1;67;;69;;70;4;71;2;72;2;73;;74;;75;;68;
89196;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89287;65;;66;2;67;;69;;70;4;71;2;72;2;73;;74;;75;1;68;3
89356;65;;66;;67;;69;;70;;71;;72;;73;;74;2;75;;68;
89570;65;;66;3;67;;69;;70;1;71;3;72;2;73;1;74;;75;;68;
89633;65;;66;;67;;69;;70;;71;;72;;73;;74;2;75;;68;
89133;65;;66;;67;;69;;70;1;71;1;72;;73;;74;;75;;68;
89189;65;1;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89350;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
89626;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89138;65;1;66;2;67;1;69;1;70;1;71;2;72;;73;;74;1;75;1;68;2
89207;65;;66;1;67;;69;;70;;71;1;72;1;73;;74;;75;;68;1
89289;65;1;66;2;67;;69;;70;;71;2;72;1;73;1;74;1;75;1;68;2
89367;65;;66;1;67;;69;;70;1;71;1;72;1;73;;74;;75;1;68;1
89572;65;1;66;2;67;1;69;;70;1;71;1;72;1;73;;74;1;75;1;68;2
89642;65;1;66;1;67;;69;;70;;71;1;72;1;73;;74;;75;;68;1
91231;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89240;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89402;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89670;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89183;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89341;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89618;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89258;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89475;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89527;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89221;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89184;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89342;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89619;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89093;65;;66;;67;;69;1;70;1;71;;72;;73;1;74;;75;;68;
89499;65;;66;;67;;69;1;70;;71;;72;;73;1;74;;75;;68;
89724;65;;66;1;67;;69;1;70;1;71;2;72;;73;1;74;1;75;2;68;
89169;65;2;66;1;67;;69;;70;1;71;2;72;1;73;;74;1;75;;68;1
89326;65;;66;1;67;;69;;70;1;71;2;72;;73;;74;1;75;;68;1
89605;65;;66;3;67;;69;;70;;71;1;72;;73;;74;1;75;1;68;1
89112;65;1;66;1;67;1;69;;70;1;71;;72;2;73;;74;;75;;68;
89124;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;1;68;1
89225;65;1;66;1;67;1;69;1;70;1;71;1;72;2;73;1;74;1;75;1;68;1
89273;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;1;68;1
89386;65;1;66;1;67;1;69;;70;1;71;1;72;2;73;1;74;1;75;1;68;1
89413;65;;66;1;67;;69;;70;;71;1;72;;73;;74;;75;;68;
89555;65;;66;1;67;;69;;70;;71;;72;;73;;74;;75;1;68;
89656;65;;66;1;67;1;69;;70;1;71;1;72;1;73;1;74;1;75;1;68;1
89748;65;;66;1;67;;69;;70;;71;;72;;73;;74;;75;1;68;1
89756;65;1;66;1;67;1;69;1;70;1;71;;72;;73;;74;1;75;1;68;1
89185;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89343;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89620;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89675;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89241;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89403;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89671;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89347;65;;66;;67;;69;1;70;;71;;72;;73;;74;;75;;68;
89336;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89429;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89614;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89186;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;1;68;
89344;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;1;68;
89621;65;;66;;67;;69;;70;1;71;;72;;73;;74;;75;;68;
89676;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
90014;65;;66;1;67;;69;;70;;71;1;72;;73;;74;;75;1;68;1
89530;65;1;66;1;67;1;69;;70;1;71;1;72;;73;;74;;75;1;68;1
89887;65;1;66;1;67;;69;;70;;71;2;72;1;73;;74;;75;1;68;1
90063;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90100;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90114;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90149;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90064;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90101;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90115;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90150;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90015;65;;66;;67;;69;1;70;;71;;72;;73;;74;;75;2;68;1
89510;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89593;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89868;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90043;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89545;65;2;66;1;67;;69;1;70;1;71;2;72;;73;;74;;75;;68;
89162;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89316;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89491;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89599;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89314;65;2;66;;67;1;69;;70;2;71;1;72;;73;;74;1;75;1;68;
89693;65;2;66;1;67;2;69;1;70;;71;2;72;;73;2;74;1;75;1;68;
89313;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89598;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89163;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89317;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89542;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89694;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89318;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89600;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89695;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89867;65;1;66;2;67;;69;;70;1;71;2;72;;73;1;74;1;75;;68;1
89910;65;2;66;2;67;2;69;1;70;2;71;2;72;;73;4;74;;75;4;68;2
89275;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89524;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89485;65;1;66;1;67;;69;;70;2;71;1;72;1;73;;74;;75;1;68;1
89466;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89595;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89737;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89467;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89596;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89738;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89594;65;1;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89257;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89739;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89907;65;;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
89440;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89734;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89511;65;;66;;67;;69;;70;;71;;72;1;73;;74;;75;1;68;
89544;65;;66;1;67;;69;;70;;71;;72;1;73;;74;;75;;68;
89953;65;;66;;67;;69;;70;;71;2;72;;73;;74;;75;;68;1
90013;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89912;65;;66;1;67;;69;;70;;71;2;72;1;73;;74;;75;;68;
89814;65;2;66;2;67;;69;;70;1;71;1;72;;73;;74;1;75;;68;
89849;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90032;65;;66;1;67;;69;;70;;71;;72;;73;;74;;75;1;68;1
89932;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89933;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89934;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89935;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89936;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89256;65;1;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
89509;65;;66;1;67;;69;;70;;71;;72;;73;;74;;75;;68;
89536;65;1;66;;67;;69;;70;;71;1;72;;73;;74;;75;;68;
90065;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90116;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90151;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90066;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90117;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90152;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90067;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90118;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90153;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90068;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90119;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90154;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90069;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90120;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90155;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90070;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90121;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90156;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90071;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90122;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90157;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90072;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90123;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90158;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90073;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
90124;65;;66;;67;;69;;70;;71;;72;;73;;74;;75;;68;
