id;nome;qtd_estoque
86615;;
86616;;
86617;;
86626;CARNE MUIDA;
86627;Molho;
86628;EMBALAGEM;
86629;ETIQUETA;
86630;PANQUECA DE CARNE;
86631;ENTRADA;1000
87143;ABAFADOR BEST FRIEND GRANDE;6
87144;ABAFADOR BEST FRIEND PEQUENO;2
87145;ABAFADOR BRAZUKA;4
87146;ABAFADOR GHOST VIDRO;2
87147;ABAFADOR KM QUADMETAL;5
87148;ABAFADOR KM SILVER;1
87149;CHARUTO TITAN;816
87150;ABAFADOR TITAN;4
87151;ADA AÇAI 50G;8
87152;ADA BANANA CINNAMON 50G;4
87153;ADA CARAMEL 50G;25
87154;ADA COLA LEMON 50G;11
87155;ADA GREEN LEMON MINT 50G;10
87156;ADA ICE BONBON 50G;13
87157;ADA ICE LEMON ON THE ROCKS 50G;2
87158;ICE;2
87159;ADA LEMON PIE 50G;12
87160;ADA LOVE 66 50G;80
87161;ADA MANGO TANGO 50G;11
87162;ADA MARACUJA 50G;21
87163;ADA SWISS BONBON 50G;25
87164;ADALYA ICE LIME ON THE ROCKS 200GR;5
87165;ADALYA LEMON PIE 200GRS;1
87166;ADALYA MARACUJA 200GR;1
87167;ADALYA PINEAPPLE 200GR;1
87168;;0
87169;ADAPTADOR MANG MYA PQ;3
87170;ADAPTADOR ROSH MYA;1
87171;ÁGUA;45
87172;AL FAKHAMAH BANANA E CINNAMON;45
87173;AL FAKHAMAH BLUE SKY;43
87174;AL FAKHAMAH FREEZE GRAPEFRUIT;25
87175;AL FAKHAMAH FRESH MINT;39
87176;AL FAKHAMAH IRISH CREAM;2
87177;AL FAKHAMAH MARACUJA;0
87178;AL FAKHAMAH PINK LEMONADE;16
87179;ALUMINIO ALLAHT;12
87180;ALUMINIO BEST FRIEND;1
87181;ALUMINIO BRASUKA;30
87182;ALUMINIO GHOST 55 FOLHAS;0
87183;ALUMINIO PREDATOR;1
87184;ALUMINIO R.R HOOKAH FOIL;5
87185;ALWAHA GOLD ABSULT MENTHOL;
87186;ALWAHA GOLD AÇAI;
87187;ALWAHA GOLD BANANA & CINNAMON;
87188;ALWAHA GOLD BLUEBERRY;
87189;ALWAHA GOLD BLUEBERRY E BANANA;
87190;ALWAHA GOLD BLUEBERRY MINT;
87191;ALWAHA GOLD BLUEBERRY VANILLA ICE CREAM;
87192;ALWAHA GOLD CACTUS LEMON;
87193;ALWAHA GOLD CARAMELO CHILL;
87194;ALWAHA GOLD CHERRY HALZ;
87195;ALWAHA GOLD CHOCO COCO;
87196;ALWAHA GOLD CINNAMON & MINT;44
87197;ALWAHA GOLD COCO LEMON E MINT;
87198;ALWAHA GOLD CRAZY CITRUS;
87199;ALWAHA GOLD DARK BLUE;
87200;ALWAHA GOLD DULCE DE LEITE;
87201;ALWAHA GOLD FREEZY;129
87204;ALWAHA GOLD FUZZY LEMON;1
87205;ALWAHA GOLD ICE BLACK;
87206;ALWAHA GOLD ICE BONBON;
87207;ALWAHA GOLD ICE COCOJUMBO;
87208;ALWAHA GOLD ICE ECLIPS;
87209;ALWAHA GOLD ICE KIWI;
87210;ALWAHA GOLD ICE LEMON MINTE;
87211;ALWAHA GOLD ICE MANGO TANGO;
87212;ALWAHA GOLD ICE MARACUJA;
87213;ALWAHA GOLD ICE WHITE;
87214;ALWAHA GOLD ICY BLUEBERRY;
87215;ALWAHA GOLD ICY CHERRY;
87216;ALWAHA GOLD ICY MINT;41
87217;ALWAHA GOLD LABELLA SWING;
87218;ALWAHA GOLD LEMON CHILL;
87219;ALWAHA GOLD MANDARIN ZEST;
87220;ALWAHA GOLD MANGO LEMONADE;
87221;ALWAHA GOLD MELANCIA COM MENTA;
87222;ALWAHA GOLD MENTHOL FUSION;
87223;ALWAHA GOLD MINT;
87224;ALWAHA GOLD MORANGO MENTA;
87225;ALWAHA GOLD ORANGE CREAM;
87226;ALWAHA GOLD ORIENTAL MAGIC;59
87227;ALWAHA GOLD PINEAPPLE LEMON;
87228;ALWAHA GOLD SPEARMINT;
87229;ALWAHA GOLD STRONG PASSIO;
87230;ALWAHA GOLD SWEET FUSION;
87231;ALWAHA GOLD SWEET SHOCK;
87232;ALWAHA GOLD SWISS BONBON;
87233;ALWAHA GOLD TANGREEN RUSH;
87234;ALWAHA GOLD VANILLA MINT;
87235;AMAZON CLASSIC;2
87236;AMAZON CLASSIC FULL STRIPES;1
87237;AMAZON EVO-X SILVER;1
87238;AMAZON FIT;2
87239;AMAZON LUXURY STRIPES;1
87240;AMAZON STANDER SERIE OURO;1
87241;AMY GOLD BLUE AMOUR;1
87242;AMY GOLD BLACK ADIOS;2
87243;AMY GOLD SPICED CHAI;2
87244;ATCHA MINT;
87245;BOLADOR BALI HAI PEQUENO;173
87246;BONG GRANDE ARTESANAL GRANDE;10
87247;BORRACHA MANGUEIRA;319
87248;BORRACHA MANGUEIRA MYA;175
87249;BORRACHA ROSH;259
87250;BORRACHA MANGUEIRA PRETA BRANCA;144
87251;BORRACHA VASO;74
87252;;
87253;BORRACHA VASO PETITE;125
87254;CARVAO ARTCOCO 0,5KG;0
87255;CARVAO ARTCOCO 1KG;19
87256;CARVAO ARTCOCO A GRANEL;6
87257;CARVAO COCO KING CUBICO C/24;33
87258;CARVAO COCOKING FLAT C/16;46
87259;CARVAO COCOKING FLAT C/84;6
87260;CARVAO FOREVER COCO;51
87261;CARVAO KANARA;21
87262;CENTRAL HOOKAH HAD;10
87263;COCA COLA LATA;10
87264;COCA COLA 2 LITROS;4
87265;CONTROLADOR AHALALOUD TAJ MAHAL;1
87266;CONTROLADOR DE CALOR SHISHA;1
87267;CORPO NARGUILE;51
87268;CRONOS DOURADO;1
87269;CRONOS PRATA;1
87270;DIAMOND MADEIRA;1
87271;DICHAVADOR FIBRA DE COCO;6
87272;DICHAVADOR MANIVELA PLASTICO;11
87273;DICHAVADOR MADEIRA;
87274;DIFUSOR;4
87275;DOWSTEAN HOOKAH HAD;3
87276;;
87277;FAHIR ANODIZADO;3
87278;ALFAKHER FRESH;9
87279;FOGAREIRO RESISTENCIA 2 BOCAS;1
87280;FOGAREIRO PANELINHA BLINDADO 127V/220V;13
87281;FOGAREIRO RESISTENCIA REDONDO 127V/220V;7
87282;FOGAREIRO RESISTENCIA QUADARADO CHAVE 220V;13
87283;FUMARI MANDARIN ZEST;4
87284;FUM LEMON MINT;23
87285;FUM RED GUMMI BEAR;1
87286;FUM SPICED CHAI;0
87287;FUM WHITE GUMMI BEAR;1
87288;FURADOR ARTESANAL;15
87289;FURADOR PREMIUM;57
87290;GHOST GLASS PIPE;72
87291;ALFAKHER BAUNILHA;16
87292;KM 1001 DOUBLE;6
87293;KM CISNEI;1
87294;KM GUITARRA;2
87295;KM KAMANJA OXIDE;1
87296;KM MINI BEAST GOLD;2
87297;KM MINI BEAST OXIDE;3
87298;KM MINI HEART OF LION;3
87299;KM NEW DISCUS;1
87300;KM PRINCE 2 PRATOS;1
87301;KONG BAG GRANDE;1
87302;KM TANK;8
87303;KM TRIMETAL DOUBLE HEART;1
87304;KONG BAG MEDIA;2
87305;KONG BAG PEQUENA;2
87306;LIMPADOR KONG CLEAR;5
87307;MANGUEIRA BALI HAI;127
87308;MANGUEIRA BRASUKA;75
87309;ALFAKHER COCO;5
87310;MANGUEIRA HOOKAH LIKE;6
87311;MANGUEIRA MAZAGE PREMIUM;4
87312;MANGUEIRA MAZAGE SILICONE;3
87313;MANGUEIRA TURCA;15
87314;MANGUEIRA YAHYA;8
87315;MARICA ARTESANAL;28
87316;MAZ SALADA DE FRUTAS;36
87317;MAZ TWIST;6
87318;MAZ VANILLA;3
87319;MANGUEIRA MAZAGE SIMPLES;26
87320;NARGUILE GHO MINI GAIA;1
87321;MISHKA;25
87322;MIZO MENTA;17
87323;MOLA PARA MANGUEIRA;61
87324;MYA ASTRA;2
87325;MYA BAMBINO;1
87326;MYA BB SAT;23
87327;MYA CRISTAL COM MALETA;2
87328;MYA CRISTAL ISTAMBUL;1
87329;MYA DERVISH;5
87330;MYA ECONO QT;8
87331;MYA FEDORA;2
87332;MYA GAIOLA;5
87333;MYA GELATO;15
87334;BALI HAI SHISHA GOOD TIMES;32
87335;MYA LUNA;5
87336;BALI HAI SHISHA LARANJA;22
87337;MYA MOZZA I;7
87338;MYA MOZZA II;4
87339;NARGUILE TURCO LOBO;1
87340;MYA THUNDER II;2
87341;NARGUILE 4S GIRATORIO;1
87342;NARGUILE DE GARRAFA;1
87343;NARGUILE TURCO LOBO;1
87344;NARGUILE HOOKAH HAD HIBRIDO;7
87345;NARGUILE TURCO CAMELO;1
87346;PAPEL ALUMINIO BALI HAI PREMIUM;23
87347;PEGADOR ANODIZADO;3
87348;PEGADOR DUHAN FURADO;10
87349;PEGADOR HOOKA DUHAN SACA ROSH;3
87350;PEGADOR SUPER TONG;4
87351;;
87352;PIPE EM PÉ ARTESANAL;1
87353;PIPE MADEIRA;1
87354;PITEIRA HOOKAH HAD;80
87355;PRATO ALUSI MANTRA;3
87356;PRATO AMAZON EVOLUTION GOLD;0
87357;PRATO AMAZON EVOLUTION PRATA;7
87358;PRATO AMAZON EVOLUTION PRETO;3
87359;PRATO AMAZON EVOLUTION RED;1
87360;PRATO AMAZON EXTREME BLUE;0
87361;PRATO AMAZON EXTREME GOLD;4
87362;PRATO AMAZON EXTREME PRETO;6
87363;PRATO AMAZON EXTREME RED;1
87364;PRATO AMAZON EXTREME SILVER;7
87365;PRATO SKAF;12
87366;PRATO AMAZON LOTUS GOLD;2
87367;PRATO AMAZON LOTUS PRETO;1
87368;PRATO AMAZON LOTUS RED;1
87369;PRATO AMAZON LOTUS SILVER;6
87370;PRATO DIAMOND;1
87371;PRATO FLOWER;15
87372;PRATO FLOWER MEDIO;6
87373;;
87374;PRATO FLOWER PETITE;12
87375;PRATO GHOST;2
87376;PRATO INFINITE MD NEO V2;4
87377;PRATO KM;25
87378;PRATO KM GOLD TRIM SMALL;0
87379;PRATO KM GOLD TRIM XXL;8
87380;PRATO KOMANCHES;1
87381;PRATO PHANTON NEW MYSTIC;2
87382;PRATO REPLICA EL NEFES;10
87383;PRATO SIMPLES;2
87384;PRATO TURCO MÉDIO;1
87385;PROTETOR VASO KM;2
87386;PURE LEMON MINT;1
87387;QUEEN OF THE ROAD MARMORE;0
87388;RAZAN MINT;0
87389;RESISTENCIA 127V;4
87390;RESISTENCIA 220V;7
87391;;0
87392;RESPIRO HOOKAH HAD;16
87393;ROSH BR MADE;32
87394;ROSH BR MADE OCTA;23
87395;ROSH BR MADE OCTA CHAMALEON;0
87396;VASO JUMBO ;13
87397;ROSH DS HOOKAH;28
87398;ROSH DS HOOKAH TRIBAL;3
87399;ROSH DUKHAN;4
87400;ROSH EAZYBOWL ORBITAL;1
87401;ROSH FLOWER ALUMINIO;41
87402;ROSH MAHALLA GRANDE;7
87403;ROSH MAHALLA P;4
87404;ROSH SAMSARIS;2
87405;ROSH SUPER BOWL BULLY;1
87406;SEDA BLUNT PLATINUM;22
87407;;
87408;SEDA RAW;237
87409;SEDA SMOKING PEQUENA BLACK;916
87410;SMART HOLDER;12
87411;SOCIAL SMOKE CITRUS PEACH 200H;2
87412;SOCIAL SMOKE HONEY MELON 200G;1
87413;SS ABSOLUTE ZERO 100G;2
87414;SS DOCE DE LEITE 100G;4
87415;TANGIERS CANE MINT 250G;10
87416;THUNDER CLEAR;0
87417;THUNDER FIT;4
87418;THUNDER MID;1
87419;THUNDER PRO V2;8
87420;TRITON ZIP;16
87421;VASO BR MADE NILO FOSCO PRETO BCO;1
87422;VASO KM JUMBO;2
87423;VASO KONG GLASS;2
87424;VASO LUNA PQ;4
87425;VASO MINI SINO;3
87426;VASO MYA BAMBINO;4
87427;VASO MYA GELATO;1
87428;VASO MYA MIKRO;8
87429;VASO MYA PETITE;116
87430;;0
87431;VASO SHISHA GLASS;2
87432;VASO SHISHA GLASS GOLD;4
87433;VASO SHISHA GLASS MAYA;3
87434;VASO SINO;52
87435;VASO SINO KM;0
87436;VASO TOWER;2
87437;VASO ZOUK;2
87438;VASO ZOUK PEQUENO;0
87439;WATERPIPE ARTESANAL;2
87440;ZOMO COOL LEMON;34
87441;ZOMO KIWI LEMON;17
87442;ZOMO INAPLE;9
87443;ZOMO STRONG MARACUJA;116
87444;ZOMO STRONG MINT;456
87445;ZOMO STRONG PINE;130
87446;PAPEL ALUMINIO SKAFF;15
