codigo_barra;nome;nome_fabricante;descricao_categoria;nome_tamanho;nome_cor;cod_ncm;dsc_forma_aquisicao;dsc_origem_mercadoria;dsc_tipo_tributacao_ipi;dsc_unidade_medida
;;;;;;;;;;
7897947607590;100% PURE ALBUMIN 4 FUEL;4 FUEL;ALBUMINA;500g;ORIGINAL;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7897947609365;3W 4 FUEL;4 FUEL;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7897947609358;3W 4 FUEL;4 FUEL;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7897947609372;3W 4 FUEL;4 FUEL;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7897947608832;PURE ALBUMIN 4 FUEL;4 FUEL;ALBUMINA;500g;ORIGINAL;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
1008240001015;BCAA + 2.1.1 1G 4+;4+;BCAA;125 tabs;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
1751000002509;BONE 4+ ATHLETICS CAMUFLADO;4+;ACESSORIOS;;CAMUFLADO;65050012;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
1751000080118;BONE 4+ PRETO COM COSTURA AMARELA;4+;ACESSORIOS;;PRETO;65050012;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
1751000080125;BONE 4+ PRETO COM COSTURA PRETA;4+;ACESSORIOS;;PRETO;65050012;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
8000000000569;ISO + 4+;4+;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000001320;ISO + 4+;4+;WHEY PROTEIN;900g;COOKIES;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000538;ISO + 4+;4+;WHEY PROTEIN;2kg;MOR C/ BANANA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000041180;W3 PRO+ - 4+;4+;WHEY PROTEIN;900g;CIOCCO CARAMEL;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000279;WHEY + - COOKIES E CREAM;4+;WHEY PROTEIN;900g;COOKIES CREAM;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000010377;WHEY + 4+;4+;WHEY PROTEIN;900g;COCO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000040992;WHEY + 4+;4+;WHEY PROTEIN;900g;TIRAMISU;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000255;WHEY + 4+;4+;;900g;TORRONE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000125;WHEY + 4+ - NOCCIOLA;4+;;900g;AVEL��;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000453;WHEY + 4+ - VANIGLIA;4+;;900g;baunilha;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000330;WHEY + 4+ 2KG - COOKIES E CREAM;4+;WHEY PROTEIN;2Kg;COOKIES;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000001092;WHEY + 4+ CEREJA;4+;WHEY PROTEIN;900g;CEREJA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000041074;WHEY + 4+ PISTACHE;4+;WHEY PROTEIN;900g;PISTACHE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000248;WHEY+ 4+ - AMENDOAS;4+;WHEY PROTEIN;900g;AMENDOA E CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000132;WHEY+ 4+ 2KG - AMENDOA E CHOCOLATE;4+;WHEY PROTEIN;2Kg;AMENDOA E CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000001108;WHEY+ 4+ 2KG - CEREJA;4+;WHEY PROTEIN;2kg;CEREJA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000010360;WHEY+ 4+ 2KG - COCO;4+;WHEY PROTEIN;2kg;COCO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000484;WHEY+ 4+ 2KG - FRAGOLA E BANANA;4+;WHEY PROTEIN;2Kg;MORANGO COM BANANA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000262;WHEY+ 4+ 2KG - NOCCIOLA;4+;WHEY PROTEIN;2kg;AVEL��;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000041081;WHEY+ 4+ 2KG - PISTACHO;4+;WHEY PROTEIN;2kg;PISTACHE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000041005;WHEY+ 4+ 2KG - TIRAMISU;4+;WHEY PROTEIN;2kg;TIRAMISU;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000347;WHEY+ 4+ 2KG - TORRONE;4+;WHEY PROTEIN;2kg;TORRONE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
8000000000460;WHEY+ 4+ 2KG - VANIGLIA;4+;WHEY PROTEIN;2kg;baunilha;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
45529589377;CREA FORCE ABB;ABB PERFORMANCE;CREATINA;500g;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962537837;100% BEEF ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962537738;100% BEEF ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
862725000211;BCAA 1000MG ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;BCAA;200 caps;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152273;BCAA INSTANTIZED POWDER ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;BCAA;240g;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962538032;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;2kg;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962538339;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962537936;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;2kg;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962538438;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962538131;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;2kg;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
19962538230;GOLD WHEY ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
1996217170336;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;1,3Kg;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
199621719016;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;700g;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
199621734002;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;1,3Kg;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152280;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;700g;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
199621733012;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;700g;COOKIES;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
199621718026;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;1,3Kg;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
199621732022;ISO P9X ADAPTOGEN SCIENCE;ADAPTOGEN SCIENCE;WHEY PROTEIN;700g;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
728028279825;TASTY WHEY - BAUNILHA;ADAPTOGEN SCIENCE;;5LB;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152143;TASTY WHEY - CHOCOLATE PEANUT BUTTER;ADAPTOGEN SCIENCE;;900g;CHOCOLATE PEANUT BUTTER;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152136;TASTY WHEY - COOKIES & CREAM;ADAPTOGEN SCIENCE;;900g;COOKIES & CREAM;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152105;TASTY WHEY ADAPTOGEN;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152143;TASTY WHEY ADAPTOGEN;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152136;TASTY WHEY ADAPTOGEN;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;COOKIES;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
612524152129;TASTY WHEY ADAPTOGEN;ADAPTOGEN SCIENCE;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
665553201887;ALL FLEX;ALLMAX;;60 caps;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
665553202464;L-CARNITINA - ALLMAX;ALLMAX;;480ml;FRAMBOESA;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
7896183901097;BCAA LINE ALS;AMERICAN LINE;BCAA;200 tabs;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902223;CREATINA ALS;AMERICAN LINE;CREATINA;100g;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902216;CREATINA ALS;AMERICAN LINE;CREATINA;300g;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183901028;DAILYN + 22 ALS;AMERICAN LINE;MULTIVITAMINICO;60 caps;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902360;GLUTAMINA ALS;AMERICAN LINE;GLUTAMINA;100g;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902278;ISOLATE & WHEY ALS;AMERICAN LINE;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902285;ISOLATE & WHEY ALS;AMERICAN LINE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902292;ISOLATE & WHEY ALS;AMERICAN LINE;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902254;NO-JACKD ALS;AMERICAN LINE;PR��-TREINO;330g;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902162;SUPER MASS 45000 ALS;AMERICAN LINE;HIPERCAL��RICO;3Kg;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902186;SUPER MASS 45000 ALS;AMERICAN LINE;HIPERCAL��RICO;3Kg;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183901257;SUPER WHEY NITRO NO2 ALS;AMERICAN LINE;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183901240;SUPER WHEY NITRO NO2 ALS;AMERICAN LINE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183901264;SUPER WHEY NITRO NO2 ALS;AMERICAN LINE;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902308;WHEY ULTRA BLEND ALS;AMERICAN LINE;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7896183902315;WHEY ULTRA BLEND ALS;AMERICAN LINE;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
