codigo_barra;nome;cod_ncm;dsc_unidade_medida
341;ETIQUETA PU LARANJA FLUOR PF PROTETION UV +50 DE 60;55129990;UN
463;ETIQUETA PU LARANJA FLUOR PORTO FIT UV+50 DE 35;55129990;UN
136;ETIQUETA PU LARANJA FLUOR WALK RUN 31;55129990;UN
329;ETIQUETA PU LARANJA LOGO PF DE20;55129990;UN
184;ETIQUETA PU LARANJA NEON P F 70;55129990;UN
365;ETIQUETA PU LARANJA THERMOSKIN 200;55129990;UN
391;ETIQUETA PU LIGHT BLUE KALENJI 180;55129990;UN
258;ETIQUETA PU MARINHO TF 100;55129990;UN
334;ETIQUETA PU NAVY BLUE LOGO PF DE 20;55129990;UN
325;ETIQUETA PU NAVY BLUE P. F. 80;55129990;UN
346;ETIQUETA PU NAVY BLUE PF PROTETION UV+50 DE 60;55129990;UN
335;ETIQUETA PU ORANGE LOGO PF DE 20;55129990;UN
326;ETIQUETA PU ORANGE P.F. 80;55129990;UN
347;ETIQUETA PU ORANGE PF PROTETION UV+50 DE 60;55129990;UN
96;ETIQUETA PU OURO ATL FITNESS 40;55129990;UN
489;ETIQUETA PU OURO BODY PLUS 50;39209990;UN
485;ETIQUETA PU OURO BODY PLUS ASS 50;39209990;UN
97;ETIQUETA PU OURO BON ATL 30;55129990;UN
549;ETIQUETA PU OURO CAPÉZIO  37;55129990;UN
123;ETIQUETA PU OURO CURTLO 150;55129990;UN
121;ETIQUETA PU OURO CURTLO 200;55129990;UN
119;ETIQUETA PU OURO CURTLO 250;55129990;UN
398;ETIQUETA PU OURO DYNAMITE 55;55129990;UN
401;ETIQUETA PU OURO DYNAMITE 70;55129990;UN
83;ETIQUETA PU OURO ILHA BELLA 60;55129990;UN
276;ETIQUETA PU OURO LOGO OX 11;55129990;UN
37;ETIQUETA PU OURO OXYFIT 55;55129990;M
22;ETIQUETA PU OURO OXYRIO 57;55129990;UN
259;ETIQUETA PU OURO PHYSICAL FITNESS;55129990;UN
552;ETIQUETA PU OURO RUN BRASIL 47;55129990;UN
31;ETIQUETA PU OUS 44-30;55129990;UN
70;ETIQUETA PU PRATA  ANAPORT  5 LOGOS 110;39219019;UN
186;ETIQUETA PU PRATA  P F  70;55129990;UN
458;ETIQUETA PU PRATA  SR 24;39209990;UN
235;ETIQUETA PU PRATA -PF  80;55129990;UN
359;ETIQUETA PU PRATA ADITHIVA 280 MM;39209990;UN
223;ETIQUETA PU PRATA ADITHIVA 60;39209990;UN
436;ETIQUETA PU PRATA ANAPORT DRY UV 50 MASCULINO;39209990;UN.
138;ETIQUETA PU PRATA ANAPORT LOGO +PALAVRA 45 MM;39209990;UN
490;ETIQUETA PU PRATA BODY PLUS 50;39209990;UN
486;ETIQUETA PU PRATA BODY PLUS ASS 50;39209990;UN
450;ETIQUETA PU PRATA CALVIN KLEIN  180;39209990;UN
449;ETIQUETA PU PRATA CALVIN KLEIN 150;39209990;UN
90;ETIQUETA PU PRATA CORAÇÃO DE MI 15;55129990;UN
124;ETIQUETA PU PRATA CURTLO 150;55129990;UN
122;ETIQUETA PU PRATA CURTLO 200;55129990;UN
120;ETIQUETA PU PRATA CURTLO 250;55129990;UN
