PRODUTO;TIPO;CUSTO;ATACADO;VAREJO;FABRICANTE
ABAFADOR BEST FRIEND;ABAFADOR;30,24 ;45,00 ;55,00 ;BEST FRIEND
ABAFADOR BEST FRIEND PEQ;ABAFADOR;27,90 ;45,00 ;55,00 ;BEST FRIEND
ABAFADOR BRAZUKA;ABAFADOR;35,00 ;55,00 ;55,00 ;BRSUKA
ABAFADOR GHOST VIDRO;ABAFADOR;70,00 ;110,00 ;150,00 ;GHOST
ABAFADOR KM QUADMETAL;ABAFADOR;45,00 ;75,00 ;90,00 ;KM
ABAFADOR KM SILVER;ABAFADOR;45,00 ;60,00 ;80,00 ;KM
ABAFADOR MYA;ABAFADOR;22,00 ;32,00 ;44,00 ;MYA
ABAFADOR TITAN;ABAFADOR;35,00 ;45,00 ;50,00 ;TITAN
ADA AÇAI 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA BANANA CINNAMON 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA CARAMEL 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA COLA LEMON 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA GREEN LEMON MINT 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA ICE BONBON 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA ICE LEMON ON THE ROCKS 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA ICE MANGO TANGO 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA LEMON PIE 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA LOVE 66 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA MANGO TANGO 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA MARACUJA 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADA SWISS BONBON 50G;ESSENCIA;10,00 ;12,50 ;17,00 ;ADALYA
ADALYA ICE LIME ON THE ROCKS 200GR;ESSENCIA;35,00 ;48,00 ;65,00 ;ADALYA
ADALYA LEMON PIE 200GRS;ESSENCIA;35,00 ;48,00 ;65,00 ;ADALYA
ADALYA MARACUJA 200GR;ESSENCIA;35,00 ;48,00 ;65,00 ;ADALYA
ADALYA PINEAPPLE 200GR;ESSENCIA;35,00 ;48,00 ;65,00 ;ADALYA
ADAPTADOR MANG MYA GR;ASSESSORIO;0,00 ;30,00 ;35,00 ;MYA
ADAPTADOR MANG MYA PQ;ASSESSORIO;0,00 ;18,00 ;20,00 ;MYA
ADAPTADOR ROSH MYA;ASSESSORIO;0,00 ;25,00 ;30,00 ;MYA
ÁGUA;COMIDA;1,00 ;4,00 ;4,00 ;
AL FAKHAMAH BANANA E CINNAMON;ESSENCIA;6,50 ;8,50 ;12,00 ;ALFKHAMAH
